ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
144,"2023-04-23 17:05:17,339",0x4c85a371db322f02b8a8f42359bfddf6,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
145,"2023-04-23 17:05:17,368",0x4c85a371db322f02b8a8f42359bfddf6,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
146,"2023-04-23 17:05:17,655",0xc9055f1d59414cbf610456c171b82b8,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
147,"2023-04-23 17:05:17,692",0xc9055f1d59414cbf610456c171b82b8,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
148,"2023-04-23 17:05:17,839",0xca489fee7a77bc0c35c7c3f86f68d685,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
149,"2023-04-23 17:05:17,882",0xca489fee7a77bc0c35c7c3f86f68d685,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
150,"2023-04-23 17:05:18,339",0x99780ac6e275870ea3a923b53c13d97e,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
151,"2023-04-23 17:05:18,369",0x99780ac6e275870ea3a923b53c13d97e,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
152,"2023-04-23 17:05:18,492",0xa315aba40f397fbfa62b1c4fe2efe7b3,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
153,"2023-04-23 17:05:18,518",0xa315aba40f397fbfa62b1c4fe2efe7b3,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
154,"2023-04-23 17:05:18,908",0x5db10300ddcaab22c681fd20a76298e,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
